"ROW_ID","BILL_TO_NAME","BILL_TO_ACCOUNT","SITE_NUMBER","BUSINESS_UNIT","TXN_SOURCE","TXN_TYPE","RATE_IS_CORPORATE","REC_ACTIVITY_NAME_BANK","SUBINVENTORY","INTEGRATION_SOURCE","DISTRIBUTION_ACC_ID","REC_ACTIVITY_NAME_CASH","REGION","CUSTOMER_TYPE","COST_CENTER_CODE"
573,Mrsool,45015,"31099",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,JURIMALL,Vend HQ,,Cash Rounding,SA,MRSOOL,"1001"
574,Mrsool,45015,"31127",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,DAREEN,Vend HQ,,Cash Rounding,SA,MRSOOL,"0701"
575,Mrsool,45015,"31107",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,WESTAVENUE,Vend HQ,,Cash Rounding,SA,MRSOOL,"0702"
576,Mrsool,45015,"31116",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,JUBAIL,Vend HQ,,Cash Rounding,SA,MRSOOL,"0901"
577,Mrsool,45015,"31103",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,ZAHRAN,Vend HQ,,Cash Rounding,SA,MRSOOL,"0601"
578,Mrsool,45015,"31133",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,EHSAA,Vend HQ,,Cash Rounding,SA,MRSOOL,"0801"
579,Mrsool,45015,"31104",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,NAKJPLAZA,Vend HQ,,Cash Rounding,SA,MRSOOL,"1101"
580,Mrsool,45015,"31114",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,KADI,Vend HQ,,Cash Rounding,SA,MRSOOL,"1301"
581,Mrsool,45015,"31111",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,SALAMAH,Vend HQ,,Cash Rounding,SA,MRSOOL,"1201"
582,Mrsool,45015,"31118",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,TABOUK,Vend HQ,,Cash Rounding,SA,MRSOOL,"1501"
583,Mrsool,45015,"31100",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,ASEER,Vend HQ,,Cash Rounding,SA,MRSOOL,"0501"
584,Mrsool,45015,"31106",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,TAWAREN,Vend HQ,,Cash Rounding,SA,MRSOOL,"0101"
585,Mrsool,45015,"31128",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,RYDGALLER,Vend HQ,,Cash Rounding,SA,MRSOOL,"0102"
586,Mrsool,45015,"31132",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,HAYAT,Vend HQ,,Cash Rounding,SA,MRSOOL,"0104"
587,Mrsool,45015,"31094",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,TAHLIA,Vend HQ,,Cash Rounding,SA,MRSOOL,"0201"
588,Mrsool,45015,"31123",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,REDSEA,Vend HQ,,Cash Rounding,SA,MRSOOL,"0202"
589,Mrsool,45015,"31098",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,ANDLUS,Vend HQ,,Cash Rounding,SA,MRSOOL,"0203"
590,Mrsool,45015,"31117",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,MAHMAL,Vend HQ,,Cash Rounding,SA,MRSOOL,"0204"
591,Mrsool,45015,"31112",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,FLAMINGO,Vend HQ,,Cash Rounding,SA,MRSOOL,"0205"
592,Mrsool,45015,"31110",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,SALAMJED,Vend HQ,,Cash Rounding,SA,MRSOOL,"0208"
593,Mrsool,45015,"31108",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,MEDAD,Vend HQ,,Cash Rounding,SA,MRSOOL,"0103"
594,Mrsool,45015,"31131",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,AMWAJ,Vend HQ,,Cash Rounding,SA,MRSOOL,"0401"
595,Mrsool,45015,"31113",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,AZIZMALL,Vend HQ,,Cash Rounding,SA,MRSOOL,"0206"
596,Mrsool,45015,"31105",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,HAIFAA,Vend HQ,,Cash Rounding,SA,MRSOOL,"0209"
597,Mrsool,45015,"31122",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,DANA,Vend HQ,,Cash Rounding,SA,MRSOOL,"1701"
598,Mrsool,45015,"31102",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,ARABMALL,Vend HQ,,Cash Rounding,SA,MRSOOL,"0210"
599,Mrsool,45015,"31095",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,YASMEEN,Vend HQ,,Cash Rounding,SA,MRSOOL,"0207"
600,Mrsool,45015,"31101",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,MAKKAH,Vend HQ,,Cash Rounding,SA,MRSOOL,"1401"
601,Mrsool,45015,"31115",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,ALULA,Vend HQ,,Cash Rounding,SA,MRSOOL,"1502"
