SUBINVENTORY,REGISTER_ID,STD_RECEIPT_BANK_ACCOUNT_NAME,STD_RECEIPT_BANK_ACCOUNT_NUMBER,STD_RECEIPT_SOURCE,MISC_RECEIPT_BANK_ACCOUNT_NAME,MISC_RECEIPT_BANK_ACCOUNT_NUMBER,MISC_RECEIPT_SOURCE
WADILABAN,382,CashWADILABAN,CashWADILABAN,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank WADILABAN ACC # 015795017321049,015795017321049,VENDHQ_REGISTERS.BANK_ACCOUNT
RASHIDABHA,383,CashRASHIDABHA,CashRASHIDABHA,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank RASHIDABHA ACC # 015795017321050,015795017321050,VENDHQ_REGISTERS.BANK_ACCOUNT
RASHIDJZN,384,CashRASHIDJZN,CashRASHIDJZN,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank RASHIDJZN ACC # 015795017321051,015795017321051,VENDHQ_REGISTERS.BANK_ACCOUNT
RASHIDMAD,385,CashRASHIDMAD,CashRASHIDMAD,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank RASHIDMAD ACC # 015795017321052,015795017321052,VENDHQ_REGISTERS.BANK_ACCOUNT
KWTMGHATER,642,Cash KWTMGHATER,Cash KWTMGHATER,VENDHQ_REGISTERS.CASH_ACCOUNT,National Bank of Kuwait KWD - ACC #******,National Bank of Kuwait KWD - ACC #******,VENDHQ_REGISTERS.BANK_ACCOUNT
TAIFSHARST,417,Cash TAIFSHARST,Cash TAIFSHARST,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank TAIFSHARST,AL Jazeerah Bank TAIFSHARST,VENDHQ_REGISTERS.BANK_ACCOUNT
KHMSAVENUE,418,Cash KHMSAVENUE,Cash KHMSAVENUE,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank KHMSAVENUE,AL Jazeerah Bank KHMSAVENUE,VENDHQ_REGISTERS.BANK_ACCOUNT
JEDNRTHWLK,419,Cash JEDNRTHWLK,Cash JEDNRTHWLK,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank JEDNRTHWLK,AL Jazeerah Bank JEDNRTHWLK,VENDHQ_REGISTERS.BANK_ACCOUNT
MEDDARIMAN,424,Cash MEDDARIMAN,Cash MEDDARIMAN,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank MEDDARIMAN,AL Jazeerah Bank MEDDARIMAN,VENDHQ_REGISTERS.BANK_ACCOUNT
NAJMELAGRO,425,Cash NAJMELAGRO,Cash NAJMELAGRO,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank NAJMELAGRO,AL Jazeerah Bank NAJMELAGRO,VENDHQ_REGISTERS.BANK_ACCOUNT
QUNKYLPLZA,426,Cash QUNKYLPLZA,Cash QUNKYLPLZA,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank QUNKYLPLZA,AL Jazeerah Bank QUNKYLPLZA,VENDHQ_REGISTERS.BANK_ACCOUNT
MEDMVNPICK,427,Cash MEDMVNPICK,Cash MEDMVNPICK,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank MEDMVNPICK,AL Jazeerah Bank MEDMVNPICK,VENDHQ_REGISTERS.BANK_ACCOUNT
RYDANUDPRK,428,Cash RYDANUDPRK,Cash RYDANUDPRK,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank RYDANUDPRK,AL Jazeerah Bank RYDANUDPRK,VENDHQ_REGISTERS.BANK_ACCOUNT
KHAMESBLD,429,Cash KHAMESBLD,Cash KHAMESBLD,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank KHAMESBLD,AL Jazeerah Bank KHAMESBLD,VENDHQ_REGISTERS.BANK_ACCOUNT
KHRJHEDITY,433,Cash KHRJHEDITY,Cash KHRJHEDITY,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank KHRJHEDITY,AL Jazeerah Bank KHRJHEDITY,VENDHQ_REGISTERS.BANK_ACCOUNT
MEDSULTANA,434,Cash MEDSULTANA,Cash MEDSULTANA,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank MEDSULTANA,AL Jazeerah Bank MEDSULTANA,VENDHQ_REGISTERS.BANK_ACCOUNT
JEDCORNCH1,435,Cash JEDCORNCH1,Cash JEDCORNCH1,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank JEDCORNCH1,AL Jazeerah Bank JEDCORNCH1,VENDHQ_REGISTERS.BANK_ACCOUNT
ALBAHAMAL,436,Cash ALBAHAMAL,Cash ALBAHAMAL,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank ALBAHAMAL,AL Jazeerah Bank ALBAHAMAL,VENDHQ_REGISTERS.BANK_ACCOUNT
JARIRRD,534,Cash JARIRRD,Cash JARIRRD,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank JARIRRD,AL Jazeerah Bank JARIRRD,VENDHQ_REGISTERS.BANK_ACCOUNT
SALAMRYD2,535,Cash SALAMRYD2,Cash SALAMRYD2,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank SALAMRYD2,AL Jazeerah Bank SALAMRYD2,VENDHQ_REGISTERS.BANK_ACCOUNT
HILTONMAK3,587,Cash HILTONMAK3,Cash HILTONMAK3,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank HILTONMAK3,AL Jazeerah Bank HILTONMAK3,VENDHQ_REGISTERS.BANK_ACCOUNT
MEDALIYAT,589,Cash MEDALIYAT,Cash MEDALIYAT,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank MEDALIYAT,AL Jazeerah Bank MEDALIYAT,VENDHQ_REGISTERS.BANK_ACCOUNT
JUBGLRIMAL,590,Cash JUBGLRIMAL,Cash JUBGLRIMAL,Receipt_Methods.csv,Al Jazeerah Bank JUBGLRIMAL,Al Jazeerah Bank JUBGLRIMAL,Receipt_Methods.csv
RYDALYAPLZ,443,Cash RYDALYAPLZ,Cash RYDALYAPLZ,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank RYDALYAPLZ,AL Jazeerah Bank RYDALYAPLZ,VENDHQ_REGISTERS.BANK_ACCOUNT
MAKABRAJ1,444,Cash MAKABRAJ1,Cash MAKABRAJ1,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank MAKABRAJ1,AL Jazeerah Bank MAKABRAJ1,VENDHQ_REGISTERS.BANK_ACCOUNT
MEDTHEGATE,445,Cash MEDTHEGATE,Cash MEDTHEGATE,Receipt_Methods.csv,AL Jazeerah Bank MEDTHEGATE,157-95017321-MEDTHEGATE,Receipt_Methods.csv
ABHLVNDAPK,446,Cash ABHLVNDAPK,Cash ABHLVNDAPK,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank ABHLVNDAPK,AL Jazeerah Bank ABHLVNDAPK,VENDHQ_REGISTERS.BANK_ACCOUNT
MAKMYANYRD,447,Cash MAKMYANYRD,Cash MAKMYANYRD,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank MAKMYANYRD,AL Jazeerah Bank MAKMYANYRD,VENDHQ_REGISTERS.BANK_ACCOUNT
MEDALHIJRA,448,Cash MEDALHIJRA,Cash MEDALHIJRA,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank MEDALHIJRA,AL Jazeerah Bank MEDALHIJRA,VENDHQ_REGISTERS.BANK_ACCOUNT
NJRANFRONT,593,Cash NJRANFRONT,Cash NJRANFRONT,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank NJRANFRONT,AL Jazeerah Bank NJRANFRONT,VENDHQ_REGISTERS.BANK_ACCOUNT
MAKDNACNTR,450,Cash MAKDNACNTR,Cash MAKDNACNTR,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank MAKDNACNTR,AL Jazeerah Bank MAKDNACNTR,VENDHQ_REGISTERS.BANK_ACCOUNT
JAHARKWT,416,Cash Account JAHARKWT,ount,VENDHQ_REGISTERS.CASH_ACCOUNT,National Bank of Kuwait KWD - ACC #******,National Bank of Kuwait KWD - ACC #******,VENDHQ_REGISTERS.BANK_ACCOUNT
MCTAVENUES,451,Cash MCTAVENUES,Cash MCTAVENUES,VENDHQ_REGISTERS.CASH_ACCOUNT,Oman Arab Bank Account- ACC # 3106-573999-500,ount-,VENDHQ_REGISTERS.BANK_ACCOUNT
MCTLLUNZWA,454,Cash MCTLLUNZWA,Cash MCTLLUNZWA,VENDHQ_REGISTERS.CASH_ACCOUNT,Oman Arab Bank Account- ACC # 3106-573999-500,ount-,VENDHQ_REGISTERS.BANK_ACCOUNT
ARARMHMDIA,488,Cash ARARMHMDIA,Cash ARARMHMDIA,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank ARARMHMDIA,AL Jazeerah Bank ARARMHMDIA,VENDHQ_REGISTERS.BANK_ACCOUNT
KHOQOSAIBI,492,Cash KHOQOSAIBI,Cash KHOQOSAIBI,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank KHOQOSAIBI,AL Jazeerah Bank KHOQOSAIBI,VENDHQ_REGISTERS.BANK_ACCOUNT
KHMSBNDWOD,493,Cash KHMSBNDWOD,Cash KHMSBNDWOD,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank KHMSBNDWOD,AL Jazeerah Bank KHMSBNDWOD,VENDHQ_REGISTERS.BANK_ACCOUNT
MILAQROTAB,494,Cash MILAQROTAB,Cash MILAQROTAB,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank MILAQROTAB,AL Jazeerah Bank MILAQROTAB,VENDHQ_REGISTERS.BANK_ACCOUNT
ASEERGUNAI,495,Cash ASEERGUNAIM,Cash ASEERGUNAIM,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank ASEERGUNAIM,AL Jazeerah Bank ASEERGUNAIM,VENDHQ_REGISTERS.BANK_ACCOUNT
YASMEENPLZ,496,Cash YASMEENPLZ,Cash YASMEENPLZ,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank YASMEENPLZ,AL Jazeerah Bank YASMEENPLZ,VENDHQ_REGISTERS.BANK_ACCOUNT
WATANIYAHB,497,Cash WATANIYAHB,Cash WATANIYAHB,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank WATANIYAHB,AL Jazeerah Bank WATANIYAHB,VENDHQ_REGISTERS.BANK_ACCOUNT
EHSALBUSTA,498,Cash EHSALBUSTAN,Cash EHSALBUSTAN,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank EHSALBUSTAN,AL Jazeerah Bank EHSALBUSTAN,VENDHQ_REGISTERS.BANK_ACCOUNT
RYDYARMOOK,499,Cash RYDYARMOOK,Cash RYDYARMOOK,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank RYDYARMOOK,AL Jazeerah Bank RYDYARMOOK,VENDHQ_REGISTERS.BANK_ACCOUNT
DAMRIVEIRA,500,Cash DAMRIVEIRA,Cash DAMRIVEIRA,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank DAMRIVEIRA,AL Jazeerah Bank DAMRIVEIRA,VENDHQ_REGISTERS.BANK_ACCOUNT
MURJANJED,513,Cash MURJANJED,Cash MURJANJED,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank MURJANJED,AL Jazeerah Bank MURJANJED,VENDHQ_REGISTERS.BANK_ACCOUNT
QATIFCFRNT,517,Cash QATIFCFRNT,Cash QATIFCFRNT,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank QATIFCFRNT,AL Jazeerah Bank QATIFCFRNT,VENDHQ_REGISTERS.BANK_ACCOUNT
JUBHUWYLYT,595,Cash JUBHUWYLYT,Cash JUBHUWYLYT,VENDHQ_REGISTERS.CASH_ACCOUNT,Al Jazeerah Bank JUBHUWYLYT,Al Jazeerah Bank JUBHUWYLYT,VENDHQ_REGISTERS.BANK_ACCOUNT
RYDTWIQDIS,597,Cash RYDTWIQDIS,Cash RYDTWIQDIS,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank RYDTWIQDIS,AL Jazeerah Bank RYDTWIQDIS,VENDHQ_REGISTERS.BANK_ACCOUNT
