REGISTER_ID,OUTLET_ID,REGISTER_NAME,CASH_ACCOUNT,CASH_ACCOUNT_ID,BANK_ACCOUNT,BANK_ACCOUNT_ID,VERSION,DELETED_AT,REGION,GIFT_ACCOUNT,GIFT_ACCOUNT_ID
553,406,MAKAHMALL2,Cash MAKAHMALL2,3E+14,AL Jazeerah Bank MAKAHMALL2,3E+14,,,SA,,
554,407,TIFZHRNCTR,Cash TIFZHRNCTR,3E+14,AL Jazeerah Bank TIFZHRNCTR,3E+14,,,SA,,
555,408,QOUZBLVRD,Cash QOUZBLVRD,3E+14,AL Jazeerah Bank QOUZBLVRD,3E+14,,,SA,,
581,418,ABHHIZAMST,Cash ABHHIZAMST,3E+14,AL Jazeerah Bank ABHHIZAMST,3E+14,,,SA,,
582,419,JEDKHUMRAH,Cash JEDKHUMRAH,3E+14,AL Jazeerah Bank JEDKHUMRAH,3E+14,,,SA,,
583,420,JEDKNGAZIZ,Cash JEDKNGAZIZ,3E+14,AL Jazeerah Bank JEDKNGAZIZ,3E+14,,,SA,,
584,412,RASHIDMAD2,Cash RASHIDMAD2,3E+14,AL Jazeerah Bank RASHIDMAD2,3E+14,,,SA,,
585,421,JEDSULTNST,Cash JEDSULTNST,3E+14,AL Jazeerah Bank JEDSULTNST,3E+14,,,SA,,
586,422,KHJTHEZONE,Cash KHJTHEZONE,3E+14,AL Jazeerah Bank KHJTHEZONE,3E+14,,,SA,,
650,456,BURIDHIMAM,,,,,,,SA,,
652,457,JEDJOHRAML,,,,,,,SA,,
653,458,JEDPALMWAK,,,,,,,SA,,
654,459,JEDPNORAMA,,,,,,,SA,,
466,329,HILTONMAK2,Cash HILTONMAK2,3E+14,AL Jazeerah Bank HILTONMAK2,3E+14,,,SA,,
487,345,TOWNSQJED,Cash TOWNSQJED,3E+14,AL Jazeerah Bank TOWNSQJED,3E+14,,,SA,,
491,341,MAJARDAH,Cash MAJARDAH,3E+14,AL Jazeerah Bank MAJARDAH,3E+14,,,SA,,
511,369,AZAIBAOMN,Cash AZAIBAOMN,3E+14,Oman Arab Bank Account- ACC # 3106-573999-500,3E+14,,,OM,,
530,390,OMNHRMZPLZ,Cash OMNHRMZPLZ,3E+14,Oman Arab Bank Account- ACC # 3106-573999-500,3E+14,,,OM,,
545,401,JUBAILMAL2,Cash JUBAILMAL2,3E+14,AL Jazeerah Bank JUBAILMAL2,3E+14,,,SA,,
546,402,BAHAAVENUS,Cash BAHAAVENUS,3E+14,AL Jazeerah Bank BAHAAVENUS,3E+14,,,SA,,
359,175,MEDAD,CASH Medad Center,3E+14,AL Jazeerah Bank Medad Center Account - Acc # 015795017321015,3E+14,,,SA,,
178,206,Hall 4,Cash Account Hall 4,3E+14,National Bank of Kuwait KWD - ACC #******,3E+14,,,KW,,
240,200,ZAHIA,Cash Zahia mall,3E+14,Abu Dhabi Islamic Bank Account AED,3E+14,,,AE,,
356,163,GRANADA,Cash Granada Mall,3E+14,AL Jazeerah Bank Gernada Mall Account - Acc # 015795017321024,3E+14,,,SA,,
331,161,EHSAA,Cash AL IHSA MALL,3E+14,AL Jazeerah Bank Al Ihsaa Mall Account - Acc # 015795017321028,3E+14,,,SA,,
334,160,DAREEN,Cash DAREEN MALL,3E+14,AL Jazeerah Bank Dareen Mall Account - Acc # 015795017321034,3E+14,,,SA,,
371,216,SALAMAH,Cash SALMAH MALL,3E+14,AL Jazeerah Bank Salma Mall Account - Acc # 015795017321033,3E+14,,,SA,,
330,157,ASEER,Cash ASSER MALL,3E+14,AL Jazeerah Bank Aseer Mall Account - Acc # 015795017321031,3E+14,,,SA,,
333,154,AMWAJ,Cash AMUAJJ MALL,3E+14,AL Jazeerah Bank Amwaj Mall Account - Acc # 015795017321027,3E+14,,,SA,,
335,188,WESTAVENUE,Cash WEST AVINEO,3E+14,AL Jazeerah Bank West Avenuo Mall Account - Acc # 015795017321032,3E+14,,,SA,,
332,177,NAKJPLAZA,Cash AL NAKheel PLAZA,3E+14,AL Jazeerah Bank Nakhel Plaza Account - Acc # 015795017321038,3E+14,,,SA,,
364,186,TALAMALL,Cash Tala Mall,3E+14,AL Jazeerah Bank Tala Mall Account - Acc # 015795017321021,3E+14,,,SA,,
370,215,KHERAIS,Cash Khris Mall,3E+14,AL Jazeerah Bank Khuris Mall Account - Acc # 015795017321019,3E+14,,,SA,,
349,167,JUBAIL,Cash AL JUBAIL MALL,3E+14,AL Jazeerah Bank Jubail Mall Account - Acc # 015795017321030,3E+14,,,SA,,
