Status Code,Ledger ID,Effective Date of Transaction,Journal Source,Journal Category,Currency Code,Journal Entry Creation Date,Actual Flag,Segment1,Segment2,Segment3,Segment4,Segment5,Segment6,Segment7,Segment8,Segment9,Segment10,Segment11,Segment12,Segment13,Segment14,Segment15,Segment16,Segment17,Segment18,Segment19,Segment20,Segment21,Segment22,Segment23,Segment24,Segment25,Segment26,Segment27,Segment28,Segment29,Segment30,Entered Debit Amount,Entered Credit Amount,Converted Debit Amount,Converted Credit Amount,REFERENCE1 (Batch Name),REFERENCE2 (Batch Description),REFERENCE3,REFERENCE4 (Journal Entry Name),REFERENCE5 (Journal Entry Description),REFERENCE6 (Journal Entry Reference),REFERENCE7 (Journal Entry Reversal flag),REFERENCE8 (Journal Entry Reversal Period),REFERENCE9 (Journal Reversal Method),REFERENCE10 (Journal Entry Line Description),Reference column 1,Reference column 2,Reference column 3,Reference column 4,Reference column 5,Reference column 6,Reference column 7,Reference column 8,Reference column 9,Reference column 10,Statistical Amount,Currency Conversion Type,Currency Conversion Date,Currency Conversion Rate,Interface Group Identifier,Context field for Journal Entry Line DFF,ATTRIBUTE1 Value for Journal Entry Line DFF,ATTRIBUTE2 Value for Journal Entry Line DFF,Attribute3 Value for Journal Entry Line DFF,Attribute4 Value for Journal Entry Line DFF,Attribute5 Value for Journal Entry Line DFF,Attribute6 Value for Journal Entry Line DFF,Attribute7 Value for Journal Entry Line DFF,Attribute8 Value for Journal Entry Line DFF,Attribute9 Value for Journal Entry Line DFF,Attribute10 Value for Journal Entry Line DFF,Attribute11 Value for Captured Information DFF,Attribute12 Value for Captured Information DFF,Attribute13 Value for Captured Information DFF,Attribute14 Value for Captured Information DFF,Attribute15 Value for Captured Information DFF,Attribute16 Value for Captured Information DFF,Attribute17 Value for Captured Information DFF,Attribute18 Value for Captured Information DFF,Attribute19 Value for Captured Information DFF,Attribute20 Value for Captured Information DFF,Context field for Captured Information DFF,Average Journal Flag,Clearing Company,Ledger Name,Encumbrance Type ID,Reconciliation Reference,Period Name,REFERENCE 18,REFERENCE 19,REFERENCE 20,Attribute Date 1,Attribute Date 2,Attribute Date 3,Attribute Date 4,Attribute Date 5,Attribute Date 6,Attribute Date 7,Attribute Date 8,Attribute Date 9,Attribute Date 10,Attribute Number 1,Attribute Number 2,Attribute Number 3,Attribute Number 4,Attribute Number 5,Attribute Number 6,Attribute Number 7,Attribute Number 8,Attribute Number 9,Attribute Number 10,Global Attribute Category,Global Attribute 1 ,Global Attribute 2,Global Attribute 3,Global Attribute 4,Global Attribute 5,Global Attribute 6 ,Global Attribute 7,Global Attribute 8,Global Attribute 9,Global Attribute 10,Global Attribute 11,Global Attribute 12,Global Attribute 13,Global Attribute 14,Global Attribute 15,Global Attribute 16,Global Attribute 17,Global Attribute 18,Global Attribute 19 ,Global Attribute 20 ,Global Attribute Date 1,Global Attribute Date 2,Global Attribute Date 3,Global Attribute Date 4,Global Attribute Date 5,Global Attribute Number 1,Global Attribute Number 2,Global Attribute Number 3,Global Attribute Number 4,Global Attribute Number 5,END
NEW,300000001418025,1970/01/01,Vend,Vend,SAR,1970/01/01,A,01,3020044,46,1703,00,01,00,,,,,,,,,,,,,,,,,,,,,,,,10.95,,10.95,,JAN-01: TABBY Vend -YANBUMALL-19700101,,,JAN-01: TABBY Vend -YANBUMALL-19700101,,,,,,,,,,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,END
NEW,300000001418025,1970/01/01,Vend,Vend,SAR,1970/01/01,A,01,5000104,46,1703,00,01,00,,,,,,,,,,,,,,,,,,,,,,,,,10.95,,10.95,JAN-01: TABBY Vend -YANBUMALL-19700101,,,JAN-01: TABBY Vend -YANBUMALL-19700101,,,,,,,,,,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,END
NEW,300000001418025,1970/01/01,Vend,Vend,SAR,1970/01/01,A,01,3020044,46,1703,00,01,00,,,,,,,,,,,,,,,,,,,,,,,,20.95,,20.95,,JAN-01: TABBY Vend -YANBUMALL-19700101,,,JAN-01: TABBY Vend -YANBUMALL-19700101,,,,,,,,,,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,END
NEW,300000001418025,1970/01/01,Vend,Vend,SAR,1970/01/01,A,01,5000104,46,1703,00,01,00,,,,,,,,,,,,,,,,,,,,,,,,,20.95,,20.95,JAN-01: TABBY Vend -YANBUMALL-19700101,,,JAN-01: TABBY Vend -YANBUMALL-19700101,,,,,,,,,,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,END
NEW,300000001418025,1970/01/01,Vend,Vend,SAR,1970/01/01,A,01,3020044,46,1703,00,01,00,,,,,,,,,,,,,,,,,,,,,,,,10.95,,10.95,,JAN-01: TABBY Vend -YANBUMALL-19700101,,,JAN-01: TABBY Vend -YANBUMALL-19700101,,,,,,,,,,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,END
NEW,300000001418025,1970/01/01,Vend,Vend,SAR,1970/01/01,A,01,5000104,46,1703,00,01,00,,,,,,,,,,,,,,,,,,,,,,,,,10.95,,10.95,JAN-01: TABBY Vend -YANBUMALL-19700101,,,JAN-01: TABBY Vend -YANBUMALL-19700101,,,,,,,,,,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,END
NEW,300000001418025,1970/01/01,Vend,Vend,SAR,1970/01/01,A,01,3020044,46,1703,00,01,00,,,,,,,,,,,,,,,,,,,,,,,,30.85,,30.85,,JAN-01: TABBY Vend -YANBUMALL-19700101,,,JAN-01: TABBY Vend -YANBUMALL-19700101,,,,,,,,,,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,END
NEW,300000001418025,1970/01/01,Vend,Vend,SAR,1970/01/01,A,01,5000104,46,1703,00,01,00,,,,,,,,,,,,,,,,,,,,,,,,,30.85,,30.85,JAN-01: TABBY Vend -YANBUMALL-19700101,,,JAN-01: TABBY Vend -YANBUMALL-19700101,,,,,,,,,,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,END
NEW,300000001418025,1970/01/01,Vend,Vend,SAR,1970/01/01,A,01,3020044,46,1703,00,01,00,,,,,,,,,,,,,,,,,,,,,,,,15.9,,15.9,,JAN-01: TABBY Vend -YANBUMALL-19700101,,,JAN-01: TABBY Vend -YANBUMALL-19700101,,,,,,,,,,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,END
NEW,300000001418025,1970/01/01,Vend,Vend,SAR,1970/01/01,A,01,5000104,46,1703,00,01,00,,,,,,,,,,,,,,,,,,,,,,,,,15.9,,15.9,JAN-01: TABBY Vend -YANBUMALL-19700101,,,JAN-01: TABBY Vend -YANBUMALL-19700101,,,,,,,,,,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,END
NEW,300000001418025,1970/01/01,Vend,Vend,SAR,1970/01/01,A,01,3020044,46,1703,00,01,00,,,,,,,,,,,,,,,,,,,,,,,,5.71,,5.71,,JAN-01: TAMARA Vend -YANBUMALL-19700101,,,JAN-01: TAMARA Vend -YANBUMALL-19700101,,,,,,,,,,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,END
NEW,300000001418025,1970/01/01,Vend,Vend,SAR,1970/01/01,A,01,5000104,46,1703,00,01,00,,,,,,,,,,,,,,,,,,,,,,,,,5.71,,5.71,JAN-01: TAMARA Vend -YANBUMALL-19700101,,,JAN-01: TAMARA Vend -YANBUMALL-19700101,,,,,,,,,,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,END
NEW,300000001418025,1970/01/01,Vend,Vend,SAR,1970/01/01,A,01,3020044,46,1703,00,01,00,,,,,,,,,,,,,,,,,,,,,,,,15.95,,15.95,,JAN-01: TABBY Vend -YANBUMALL-19700101,,,JAN-01: TABBY Vend -YANBUMALL-19700101,,,,,,,,,,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,END
NEW,300000001418025,1970/01/01,Vend,Vend,SAR,1970/01/01,A,01,5000104,46,1703,00,01,00,,,,,,,,,,,,,,,,,,,,,,,,,15.95,,15.95,JAN-01: TABBY Vend -YANBUMALL-19700101,,,JAN-01: TABBY Vend -YANBUMALL-19700101,,,,,,,,,,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,END
NEW,300000001418025,1970/01/01,Vend,Vend,SAR,1970/01/01,A,01,3020044,46,1703,00,01,00,,,,,,,,,,,,,,,,,,,,,,,,9.96,,9.96,,JAN-01: TAMARA Vend -YANBUMALL-19700101,,,JAN-01: TAMARA Vend -YANBUMALL-19700101,,,,,,,,,,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,END
NEW,300000001418025,1970/01/01,Vend,Vend,SAR,1970/01/01,A,01,5000104,46,1703,00,01,00,,,,,,,,,,,,,,,,,,,,,,,,,9.96,,9.96,JAN-01: TAMARA Vend -YANBUMALL-19700101,,,JAN-01: TAMARA Vend -YANBUMALL-19700101,,,,,,,,,,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,END
NEW,300000001418025,1970/01/01,Vend,Vend,SAR,1970/01/01,A,01,3020044,46,1703,00,01,00,,,,,,,,,,,,,,,,,,,,,,,,15.95,,15.95,,JAN-01: TABBY Vend -YANBUMALL-19700101,,,JAN-01: TABBY Vend -YANBUMALL-19700101,,,,,,,,,,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,END
