Payment Method,Business Unit,Debit Account,Credit Account,Segment1,Segment2,Segment3,Segment4,Segment5,Segment6,Segment7
TAMARA,Alqurashi KSA,69011,609012,1,,,,,,
TABBY,Alqurashi KSA,69011,609012,1,,,,,,
