ROW_ID,BILL_TO_NAME,BILL_TO_ACCOUNT,BILL_TO_SITE_NUMBER,BUSINESS_UNIT,TXN_SOURCE,TXN_TYPE,RATE_IS_CORPORATE,REC_ACTIVITY_NAME_BANK,SUBINVENTORY,INTEGRATION_SOURCE,DISTRIBUTION_ACC_ID,REC_ACTIVITY_NAME_CASH,REGION,CUSTOMER_TYPE,COST_CENTER_CODE
2722,Nakhla IT Systems (LLC) Tamara,69011,30000114,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,KHAFOTHAIM,Vend HQ,,Cash Rounding,SA,TAMARA,802
1719,Tabby Saudi For communication and IT,50011,3000100,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,RASHIDABHA,Vend HQ,,Cash Rounding,SA,TABBY,502
2719,Nakhla IT Systems (LLC) Tamara,69011,30000120,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,RASHIDABHA,Vend HQ,,Cash Rounding,SA,TAMARA,502
1721,Tabby Saudi For communication and IT,50011,3000102,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,RASHIDMAD,Vend HQ,,Cash Rounding,SA,TABBY,303
2721,Nakhla IT Systems (LLC) Tamara,69011,30000122,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,RASHIDMAD,Vend HQ,,Cash Rounding,SA,TAMARA,303
1728,Tabby Saudi For communication and IT,50011,3000096,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,NAKHDMM,Vend HQ,,Cash Rounding,SA,TABBY,704
2728,Nakhla IT Systems (LLC) Tamara,69011,30000116,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,NAKHDMM,Vend HQ,,Cash Rounding,SA,TAMARA,704
1725,Tabby Saudi For communication and IT,50011,3000087,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,DAMMOTHAIM,Vend HQ,,Cash Rounding,SA,TABBY,703
2725,Nakhla IT Systems (LLC) Tamara,69011,30000107,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,DAMMOTHAIM,Vend HQ,,Cash Rounding,SA,TAMARA,703
1688,Tabby Saudi For communication and IT,50011,3000085,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,ARARMALL,Vend HQ,,Cash Rounding,SA,TABBY,113
2688,Nakhla IT Systems (LLC) Tamara,69011,30000105,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,ARARMALL,Vend HQ,,Cash Rounding,SA,TAMARA,113
1674,Tabby Saudi For communication and IT,50011,3000097,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,ONAIZAH,Vend HQ,,Cash Rounding,SA,TABBY,1102
2675,Nakhla IT Systems (LLC) Tamara,69011,30000117,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,ONAIZAH,Vend HQ,,Cash Rounding,SA,TAMARA,1102
1669,Tabby Saudi For communication and IT,50011,3000095,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,MAKTOWER,Vend HQ,,Cash Rounding,SA,TABBY,1402
562,Avenues,7001,26003,IBRAQ-KUWAIT (CR 460767),Vend Kuwait,Vend Invoice Kuwait,1,IQ-KUW Bank Charge,Avenues,Vend HQ,,IBRAQ-KUWAIT Cash Rounding,KW,NORMAL,7001
563,City Centre Muscat,22012,104022,AlQurashi-Oman,Vend Oman,Vend Invoice Oman,1,Bank Charge OMN,MUSCATCC,Vend HQ,,Cash Rounding OMN,OM,NORMAL,
564,Zahia mall,22011,104021,AlQurashi-UAE,Vend UAE,Vend Invoice UAE,1,Bank Charge UAE,ZAHIA,Vend HQ,,Cash Rounding UAE,AE,NORMAL,3202
566,Mrsool,45015,210094,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,NAKHELMALL,Vend HQ,,Cash Rounding,SA,MRSOOL,105
567,Mrsool,45015,210095,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,TALAMALL,Vend HQ,,Cash Rounding,SA,MRSOOL,106
568,Mrsool,45015,210081,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,KHERAIS,Vend HQ,,Cash Rounding,SA,MRSOOL,107
569,Mrsool,45015,210090,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,HAMRAA,Vend HQ,,Cash Rounding,SA,MRSOOL,108
570,Mrsool,45015,210074,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,SALAMRYD,Vend HQ,,Cash Rounding,SA,MRSOOL,109
571,Mrsool,45015,210092,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,NOUR,Vend HQ,,Cash Rounding,SA,MRSOOL,302
572,Mrsool,45015,210082,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,MANAR,Vend HQ,,Cash Rounding,SA,MRSOOL,301
573,Mrsool,45015,210075,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,JURIMALL,Vend HQ,,Cash Rounding,SA,MRSOOL,1001
574,Mrsool,45015,210096,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,DAREEN,Vend HQ,,Cash Rounding,SA,MRSOOL,701
575,Mrsool,45015,210097,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,WESTAVENUE,Vend HQ,,Cash Rounding,SA,MRSOOL,702
576,Mrsool,45015,210098,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,JUBAIL,Vend HQ,,Cash Rounding,SA,MRSOOL,901
577,Mrsool,45015,210099,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,ZAHRAN,Vend HQ,,Cash Rounding,SA,MRSOOL,601
578,Mrsool,45015,210083,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,EHSAA,Vend HQ,,Cash Rounding,SA,MRSOOL,801
579,Mrsool,45015,210100,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,NAKJPLAZA,Vend HQ,,Cash Rounding,SA,MRSOOL,1101
580,Mrsool,45015,210078,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,KADI,Vend HQ,,Cash Rounding,SA,MRSOOL,1301
581,Mrsool,45015,210084,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,SALAMAH,Vend HQ,,Cash Rounding,SA,MRSOOL,1201
582,Mrsool,45015,210076,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,TABOUK,Vend HQ,,Cash Rounding,SA,MRSOOL,1501
583,Mrsool,45015,210077,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,ASEER,Vend HQ,,Cash Rounding,SA,MRSOOL,501
584,Mrsool,45015,210079,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,TAWAREN,Vend HQ,,Cash Rounding,SA,MRSOOL,101
585,Mrsool,45015,210102,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,RYDGALLER,Vend HQ,,Cash Rounding,SA,MRSOOL,102
586,Mrsool,45015,210073,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,HAYAT,Vend HQ,,Cash Rounding,SA,MRSOOL,104
587,Mrsool,45015,210086,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,TAHLIA,Vend HQ,,Cash Rounding,SA,MRSOOL,201
588,Mrsool,45015,210105,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,REDSEA,Vend HQ,,Cash Rounding,SA,MRSOOL,202
589,Mrsool,45015,210106,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,ANDLUS,Vend HQ,,Cash Rounding,SA,MRSOOL,203
590,Mrsool,45015,210107,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,MAHMAL,Vend HQ,,Cash Rounding,SA,MRSOOL,204
591,Mrsool,45015,210108,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,FLAMINGO,Vend HQ,,Cash Rounding,SA,MRSOOL,205
592,Mrsool,45015,210110,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,SALAMJED,Vend HQ,,Cash Rounding,SA,MRSOOL,208
593,Mrsool,45015,210103,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,MEDAD,Vend HQ,,Cash Rounding,SA,MRSOOL,103
594,Mrsool,45015,210114,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,AMWAJ,Vend HQ,,Cash Rounding,SA,MRSOOL,401
595,Mrsool,45015,210109,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,AZIZMALL,Vend HQ,,Cash Rounding,SA,MRSOOL,206
596,Mrsool,45015,210111,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,HAIFAA,Vend HQ,,Cash Rounding,SA,MRSOOL,209
597,Mrsool,45015,210093,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,DANA,Vend HQ,,Cash Rounding,SA,MRSOOL,1701
598,Mrsool,45015,210089,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,ARABMALL,Vend HQ,,Cash Rounding,SA,MRSOOL,210
599,Mrsool,45015,210087,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,YASMEEN,Vend HQ,,Cash Rounding,SA,MRSOOL,207
600,Mrsool,45015,210080,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,MAKKAH,Vend HQ,,Cash Rounding,SA,MRSOOL,1401
601,Mrsool,45015,210085,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,ALULA,Vend HQ,,Cash Rounding,SA,MRSOOL,1502
602,Mrsool,45015,210101,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,GRANADA,Vend HQ,,Cash Rounding,SA,MRSOOL,110
603,Hungerstation,45014,210057,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,ZAHRAN,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,601
