ROW_ID,BILL_TO_NAME,BILL_TO_ACCOUNT,BILL_TO_SITE_NUMBER,BUSINESS_UNIT,TXN_SOURCE,TXN_TYPE,RATE_IS_CORPORATE,REC_ACTIVITY_NAME_BANK,SUBINVENTORY,INTEGRATION_SOURCE,DISTRIBUTION_ACC_ID,REC_ACTIVITY_NAME_CASH,REGION,CUSTOMER_TYPE,COST_CENTER_CODE
2622,Nakhla IT Systems (LLC) Tamara,69011,3000012,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,SALAMRYD,Vend HQ,,Cash Rounding,SA,TAMARA,109
1668,Tabby Saudi For communication and IT,50011,3000047,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,ALULA,Vend HQ,,Cash Rounding,SA,TABBY,1502
2668,Nakhla IT Systems (LLC) Tamara,69011,3000005,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,ALULA,Vend HQ,,Cash Rounding,SA,TAMARA,1502
2653,Nakhla IT Systems (LLC) Tamara,69011,3000037,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,AMWAJ,Vend HQ,,Cash Rounding,SA,TAMARA,401
2648,Nakhla IT Systems (LLC) Tamara,69011,3000028,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,ANDLUS,Vend HQ,,Cash Rounding,SA,TAMARA,203
1665,Tabby Saudi For communication and IT,50011,3000051,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,ARABMALL,Vend HQ,,Cash Rounding,SA,TABBY,210
2665,Nakhla IT Systems (LLC) Tamara,69011,3000009,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,ARABMALL,Vend HQ,,Cash Rounding,SA,TAMARA,210
1635,Tabby Saudi For communication and IT,50011,3000080,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,ASEER,Vend HQ,,Cash Rounding,SA,TABBY,501
2635,Nakhla IT Systems (LLC) Tamara,69011,3000038,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,ASEER,Vend HQ,,Cash Rounding,SA,TAMARA,501
1654,Tabby Saudi For communication and IT,50011,3000073,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,AZIZMALL,Vend HQ,,Cash Rounding,SA,TABBY,206
