Order,Method,Amount,Fixed,Variable,Expected_Charge
MAKKAH/108787,TAMARA,199.0,1.5,8.457500000000001,9.96
MAKKAH/108769,TAMARA,180.0,1.5,7.65,9.15
MAKKAH/108751,TABBY,299.0,1.0,14.950000000000001,15.95
MAKKAH/108745,TAMARA,299.0,1.5,12.707500000000001,14.21
MAKKAH/108744,TABBY,399.0,1.0,19.950000000000003,20.95
MAKKAH/108742,TAMARA,115.0,1.5,4.8875,6.39
MAKKAH/108700,TAMARA,199.0,1.5,8.457500000000001,9.96
MAKKAH/108630,TAMARA,399.0,1.5,16.9575,18.46
MAKKAH/108621,TAMARA,199.0,1.5,8.457500000000001,9.96
MAKKAH/108618,TABBY,199.0,1.0,9.950000000000001,10.95
MAKKAH/108589,TAMARA,479.0,1.5,20.3575,21.86
MAKKAH/108587,TAMARA,199.0,1.5,8.457500000000001,9.96
MAKKAH/108581,TAMARA,149.0,1.5,6.3325000000000005,7.83
MAKKAH/108578,TAMARA,226.0,1.5,9.605,11.11
MAKKAH/108574,TAMARA,225.0,1.5,9.5625,11.06
MAKKAH/108559,TABBY,299.0,1.0,14.950000000000001,15.95
MAKKAH/108549,TAMARA,299.0,1.5,12.707500000000001,14.21
MAKKAH/108543,TABBY,299.0,1.0,14.950000000000001,15.95
MAKKAH/108536,TAMARA,405.0,1.5,17.212500000000002,18.71
MAKKAH/108522,TAMARA,444.0,1.5,18.87,20.37
MAKKAH/108505,TAMARA,299.0,1.5,12.707500000000001,14.21
MAKKAH/108488,TABBY,499.0,1.0,24.950000000000003,25.95
MAKKAH/108447,TABBY,85.0,1.0,4.25,5.25
MAKKAH/108446,TABBY,160.0,1.0,8.0,9.0
MAKKAH/108429,TAMARA,299.0,1.5,12.707500000000001,14.21
MAKKAH/108427,TABBY,226.0,1.0,11.3,12.3
MAKKAH/108423,TABBY,180.0,1.0,9.0,10.0
MAKKAH/108421,TABBY,650.0,1.0,32.5,33.5
MAKKAH/108417,TAMARA,199.0,1.5,8.457500000000001,9.96
MAKKAH/108413,TAMARA,149.0,1.5,6.3325000000000005,7.83
MAKKAH/108389,TAMARA,127.0,1.5,5.3975,6.9
MAKKAH/108364,TABBY,304.0,1.0,15.200000000000001,16.2
MAKKAH/108341,TABBY,299.0,1.0,14.950000000000001,15.95
MAKKAH/108334,TABBY,180.0,1.0,9.0,10.0
MAKKAH/108318,TAMARA,126.0,1.5,5.355,6.86
MAKKAH/108209,TABBY,386.0,1.0,19.3,20.3
MAKKAH/108204,TAMARA,299.0,1.5,12.707500000000001,14.21
MAKKAH/108116,TABBY,299.0,1.0,14.950000000000001,15.95
MAKKAH/108110,TAMARA,149.0,1.5,6.3325000000000005,7.83
MAKKAH/108102,TAMARA,299.0,1.5,12.707500000000001,14.21
MAKKAH/108101,TAMARA,299.0,1.5,12.707500000000001,14.21
MAKKAH/108100,TAMARA,299.0,1.5,12.707500000000001,14.21
MAKKAH/108083,TAMARA,299.0,1.5,12.707500000000001,14.21
MAKKAH/108057,TAMARA,299.0,1.5,12.707500000000001,14.21
MAKKAH/108046,TABBY,299.0,1.0,14.950000000000001,15.95
MAKKAH/108039,TABBY,299.0,1.0,14.950000000000001,15.95
MAKKAH/108023,TABBY,199.0,1.0,9.950000000000001,10.95
MAKKAH/108009,TAMARA,474.0,1.5,20.145000000000003,21.65
MAKKAH/107996,TAMARA,299.0,1.5,12.707500000000001,14.21
MAKKAH/107950,TAMARA,299.0,1.5,12.707500000000001,14.21
MAKKAH/107903,TAMARA,299.0,1.5,12.707500000000001,14.21
MAKKAH/107873,TABBY,398.0,1.0,19.900000000000002,20.9
MAKKAH/107871,TABBY,199.0,1.0,9.950000000000001,10.95
MAKKAH/107869,TAMARA,499.0,1.5,21.207500000000003,22.71
MAKKAH/107857,TAMARA,199.0,1.5,8.457500000000001,9.96
MAKKAH/107856,TAMARA,299.0,1.5,12.707500000000001,14.21
MAKKAH/107834,TAMARA,299.0,1.5,12.707500000000001,14.21
MAKKAH/107831,TAMARA,199.0,1.5,8.457500000000001,9.96
MAKKAH/107813,TAMARA,299.0,1.5,12.707500000000001,14.21
MAKKAH/107811,TABBY,299.0,1.0,14.950000000000001,15.95
MAKKAH/107732,TAMARA,315.0,1.5,13.387500000000001,14.89
MAKKAH/107724,TABBY,199.0,1.0,9.950000000000001,10.95
MAKKAH/107715,TABBY,299.0,1.0,14.950000000000001,15.95
MAKKAH/107714,TABBY,399.0,1.0,19.950000000000003,20.95
MAKKAH/107709,TAMARA,398.0,1.5,16.915000000000003,18.42
MAKKAH/107707,TAMARA,339.0,1.5,14.4075,15.91
MAKKAH/107674,TABBY,174.0,1.0,8.700000000000001,9.7
MAKKAH/107663,TAMARA,75.0,1.5,3.1875000000000004,4.69
